,BBP
2008-01-02,6.096199639646425
2008-01-03,6.041406245772117
2008-01-04,-1.1857039303687655
2008-01-07,10.708955407407213
2008-01-08,-4.062220606918759
2008-01-09,7.282152415489882
2008-01-10,25.27100954875649
2008-01-11,20.723774203278015
2008-01-14,30.46905819357902
2008-01-15,1.5592676406568637
2008-01-16,38.62392202351639
2008-01-17,19.536577153360383
2008-01-18,16.337901439105902
2008-01-22,37.58182298474188
2008-01-23,105.53017247014506
2008-01-24,93.49698778280163
2008-01-25,77.05668218820655
2008-01-28,98.03705175480368
2008-01-29,108.34830707232834
2008-01-30,99.17378244286265
2008-01-31,93.1109351758893
2008-02-01,93.62311886436333
2008-02-04,74.64555382356377
2008-02-05,55.08066079879394
2008-02-06,52.228023683713076
2008-02-07,62.11191471068577
2008-02-08,49.99045455211278
2008-02-11,44.64906380248168
2008-02-12,43.332344110604346
2008-02-13,48.13405401764816
2008-02-14,32.0511089006668
2008-02-15,35.7698778654715
2008-02-19,26.242433714908277
2008-02-20,26.72998477833428
2008-02-21,27.83984509920759
2008-02-22,40.58718242709947
2008-02-25,41.657631619918966
2008-02-26,38.62045055906973
2008-02-27,50.527495589979466
2008-02-28,22.3744640528261
2008-02-29,-1.7852460154977217
2008-03-03,-14.42851576099713
2008-03-04,-13.593997463922442
2008-03-05,-6.914697708226861
2008-03-06,-9.831539485092557
2008-03-07,0.6880336365966417
2008-03-10,-0.9055938185609458
2008-03-11,24.740162514580064
2008-03-12,25.14288444874584
2008-03-13,23.192492569881964
2008-03-14,13.223377474608238
2008-03-17,48.34590117668291
2008-03-18,70.52999601093855
2008-03-19,68.83586175353462
2008-03-20,96.32636431769374
2008-03-24,96.81393984884086
2008-03-25,90.18272195187525
2008-03-26,74.96524484004578
2008-03-27,66.36255485800109
2008-03-28,65.01884181806233
2008-03-31,65.82322047955473
2008-04-01,90.93254818492868
2008-04-02,84.00725599721933
2008-04-03,80.7835355339067
2008-04-04,73.642484387088
2008-04-07,71.23613214802663
2008-04-08,64.58476854378546
2008-04-09,58.53034908979623
2008-04-10,52.89269211790886
2008-04-11,37.90942222907682
2008-04-14,17.188968273257405
2008-04-15,21.070207240499485
2008-04-16,60.230656063306476
2008-04-17,60.861477265015886
2008-04-18,70.48915102753206
2008-04-21,63.4046689856131
2008-04-22,70.08625611364604
2008-04-23,61.14265869417201
2008-04-24,85.450676134922
2008-04-25,92.69712167420694
2008-04-28,82.58094532145918
2008-04-29,77.91388300483173
2008-04-30,83.91578668827923
2008-05-01,98.84702344415707
2008-05-02,86.95679815544631
2008-05-05,76.6931184829226
2008-05-06,76.29216928420996
2008-05-07,56.89497818988969
2008-05-08,49.708256160607476
2008-05-09,53.730265047400835
2008-05-12,60.28865111235386
2008-05-13,25.4888175204109
2008-05-14,32.29480963968502
2008-05-15,53.051539505133725
2008-05-16,41.550401709407296
2008-05-19,27.873722341507133
2008-05-20,-11.354928744362946
2008-05-21,-17.80140547756032
2008-05-22,1.2948203739723312
2008-05-23,0.5511917798334576
2008-05-27,13.870011137562182
2008-05-28,16.183022529560557
2008-05-29,26.794719812413337
2008-05-30,22.55255408910843
2008-06-02,15.645933044688807
2008-06-03,15.89056953566869
2008-06-04,15.560085857256462
2008-06-05,24.158712913038194
2008-06-06,5.6224709086545515
2008-06-09,-10.335180793345552
2008-06-10,3.7194622355453566
2008-06-11,0.922053386884301
2008-06-12,13.264812250989873
2008-06-13,29.210288047787987
2008-06-16,34.44939978585081
2008-06-17,26.52358563050827
2008-06-18,25.600646100635988
2008-06-19,26.86115478642805
2008-06-20,20.80979689802613
2008-06-23,13.846762593293763
2008-06-24,25.782456914886705
2008-06-25,29.991971974911667
2008-06-26,13.596676252710358
2008-06-27,2.6163213554604914
2008-06-30,0.2770888482867253
2008-07-01,6.253630984068372
2008-07-02,16.09862020800382
2008-07-03,26.146776983246294
2008-07-07,12.188949153666611
2008-07-08,37.674606240875505
2008-07-09,20.165546372550654
2008-07-10,25.43342868988044
2008-07-11,12.568050702410897
2008-07-14,1.2023256541537264
2008-07-15,-0.25264513976329234
2008-07-16,59.148669750808466
2008-07-17,110.20899933054534
2008-07-18,97.43593232370625
2008-07-21,81.84097644897645
2008-07-22,96.77785070027099
2008-07-23,98.92472424523552
2008-07-24,74.86653966679691
2008-07-25,75.64436652186997
2008-07-28,60.163291817307964
2008-07-29,80.51370202668254
2008-07-30,82.82606433682865
2008-07-31,73.4959280413925
2008-08-01,72.18416556128534
2008-08-04,65.94743979462226
2008-08-05,75.84324449204959
2008-08-06,70.16622335281036
2008-08-07,57.07978482088417
2008-08-08,64.68432778470826
2008-08-11,70.69304528407329
2008-08-12,15.499189462955258
2008-08-13,-5.406569865117022
2008-08-14,14.46773559678064
2008-08-15,21.299555697316517
2008-08-18,5.705206006583192
2008-08-19,-0.6198659600036011
2008-08-20,20.51685604276168
2008-08-21,14.951918919058254
2008-08-22,33.2548150187361
2008-08-25,17.09926818350678
2008-08-26,25.155725189134255
2008-08-27,33.22663434289413
2008-08-28,54.7268622714443
2008-08-29,51.476400518654216
2008-09-02,58.66482573805315
2008-09-03,70.8421776465744
2008-09-04,48.14980324007462
2008-09-05,74.07468362320756
2008-09-08,101.98818909570304
2008-09-09,76.26002684090379
2008-09-10,73.31868544001506
2008-09-11,100.56395733765471
2008-09-12,88.24125451873262
2008-09-15,31.676334300897434
2008-09-16,79.31196956660278
2008-09-17,12.326418999392269
2008-09-18,71.2367045402213
2008-09-19,126.62820749707129
2008-09-22,63.6442963477822
2008-09-23,59.54248405070397
2008-09-24,57.17094043946416
2008-09-25,84.96866269852529
2008-09-26,114.54325442810871
2008-09-29,52.2441890930845
2008-09-30,94.01797864186085
2008-10-01,104.53388545733009
2008-10-02,99.57469942586424
2008-10-03,72.57376090127583
2008-10-06,59.94722910596767
2008-10-07,31.042362160983437
2008-10-08,30.807895808593738
2008-10-09,17.55974420673508
2008-10-10,46.62409623012959
2008-10-13,47.00591359174952
2008-10-14,38.938834015390725
2008-10-15,22.653399290707046
2008-10-16,35.585205384239984
2008-10-17,30.03012247772433
2008-10-20,38.92667006760176
2008-10-21,32.99925120799029
2008-10-22,18.04192717763504
2008-10-23,24.832944568708765
2008-10-24,13.391235470279641
2008-10-27,9.720145942656092
2008-10-28,32.67609493352045
2008-10-29,22.55841642231965
2008-10-30,36.501168586471884
2008-10-31,73.09718702228588
2008-11-03,71.82658060243868
2008-11-04,84.45999526821241
2008-11-05,53.127396957304995
2008-11-06,41.9073495652973
2008-11-07,38.08909069783068
2008-11-10,25.475842722354674
2008-11-11,27.137437883016542
2008-11-12,11.475350109289344
2008-11-13,41.53664248705945
2008-11-14,15.488202281017577
2008-11-17,4.26510075547123
2008-11-18,5.070393029546757
2008-11-19,-11.431239266630119
2008-11-20,-20.93777936892024
2008-11-21,-9.083724612691405
2008-11-24,17.18844469041786
2008-11-25,29.183052521885006
2008-11-26,34.24717005807554
2008-11-28,40.14106044802616
2008-12-01,18.66689624857888
2008-12-02,31.45021061712281
2008-12-03,41.503120628257264
2008-12-04,47.65299212338386
2008-12-05,62.133405677261834
2008-12-08,81.38047401720523
2008-12-09,67.63376458542587
2008-12-10,66.40776179414914
2008-12-11,45.094553604538426
2008-12-12,53.87758957095431
2008-12-15,39.31113659581575
2008-12-16,66.65777587056859
2008-12-17,63.19593164329286
2008-12-18,50.47373192455107
2008-12-19,48.52304745439224
2008-12-22,39.086543372367316
2008-12-23,30.083084211103767
2008-12-24,38.118301211038165
2008-12-26,38.053413780164725
2008-12-29,38.987460359386596
2008-12-30,49.661923426568016
2008-12-31,54.48327616936089
2009-01-02,56.18337915257066
2009-01-05,29.668773600094276
2009-01-06,39.550364539453895
2009-01-07,12.92693780949018
2009-01-08,1.4331809183014128
2009-01-09,-11.937516704382857
2009-01-12,-11.79350810622901
2009-01-13,13.049687553340231
2009-01-14,11.484289245459562
2009-01-15,0.010430475309943246
2009-01-16,-6.032253660337837
2009-01-20,-22.90499805235373
2009-01-21,15.955311386927548
2009-01-22,22.424150550378187
2009-01-23,32.61427445926989
2009-01-26,35.85137078275278
2009-01-27,41.30008216721917
2009-01-28,61.23182479031898
2009-01-29,46.30386315173319
2009-01-30,49.11399095007011
2009-02-02,48.92063896796895
2009-02-03,39.74399926609398
2009-02-04,41.694182385220934
2009-02-05,49.543512558588105
2009-02-06,86.9524383584942
2009-02-09,80.90952698620609
2009-02-10,49.58905062538456
2009-02-11,67.25362832962796
2009-02-12,68.13439579892517
2009-02-13,50.24301519853075
2009-02-17,16.02869335383695
2009-02-18,2.789668538509928
2009-02-19,-3.2323259061941725
2009-02-20,-3.154185124264642
2009-02-23,1.2151699601576464
2009-02-24,19.720773518526176
2009-02-25,28.643059903382
2009-02-26,43.192035242160856
2009-02-27,42.37893559919833
2009-03-02,27.308199995250394
2009-03-03,28.070043328366502
2009-03-04,14.968878629262852
2009-03-05,-0.8272451710057724
2009-03-06,2.1393429896843554
2009-03-09,6.5815536033283895
2009-03-10,36.227783726256845
2009-03-11,45.36741255740007
2009-03-12,72.8238605804836
2009-03-13,81.70650122208127
2009-03-16,76.99558525004196
2009-03-17,93.39261044432389
2009-03-18,102.353695548809
2009-03-19,80.58304106414718
2009-03-20,64.28166330750966
2009-03-23,100.9504780759107
2009-03-24,79.83181715729926
2009-03-25,89.56878478622227
2009-03-26,88.35171163053181
2009-03-27,75.83165954620353
2009-03-30,59.687214318699965
2009-03-31,68.13308859123538
2009-04-01,74.69236421376108
2009-04-02,73.17988821723104
2009-04-03,78.98107968298528
2009-04-06,71.2216642326599
2009-04-07,61.0740690477019
2009-04-08,61.06850570010991
2009-04-09,110.75744498792446
2009-04-13,107.96932462543485
2009-04-14,77.72655936935462
2009-04-15,90.39999440319438
2009-04-16,90.67759404145951
2009-04-17,86.60288382761786
2009-04-20,53.885836044329125
2009-04-21,78.40457171042347
2009-04-22,70.36704776967912
2009-04-23,79.57149664516713
2009-04-24,78.17673442960813
2009-04-27,70.66057998830446
2009-04-28,69.2286790062141
2009-04-29,83.39320655601946
2009-04-30,66.12304130938462
2009-05-01,58.69398254083363
2009-05-04,91.03393245517898
2009-05-05,78.13657322418001
2009-05-06,102.49847281778501
2009-05-07,79.11341148083427
2009-05-08,113.80510537944647
2009-05-11,74.82214085853447
2009-05-12,67.36051633953426
2009-05-13,50.55421664608356
2009-05-14,67.27989309634431
2009-05-15,58.63077319824149
2009-05-18,85.77289414089667
2009-05-19,64.68416696703753
2009-05-20,45.26054996825193
2009-05-21,49.102402783612106
2009-05-22,40.816716604702314
2009-05-26,71.44726294741311
2009-05-27,39.19512775384231
2009-05-28,71.00210803943968
2009-05-29,73.1851896274748
2009-06-01,56.93614421099008
2009-06-02,25.531293106124544
